Date,Open,High,Low,Close,Volume
21-Nov-16,2480.78,2489.70,2463.90,2487.75,-
18-Nov-16,2482.14,2495.47,2470.61,2480.75,-
17-Nov-16,2497.57,2497.57,2468.87,2481.82,-
16-Nov-16,2513.39,2521.29,2494.40,2497.41,-
15-Nov-16,2492.54,2514.90,2492.31,2512.88,-
14-Nov-16,2485.87,2508.37,2480.94,2492.78,-
11-Nov-16,2501.34,2507.28,2479.25,2485.50,-
10-Nov-16,2486.54,2526.10,2486.09,2501.39,-
9-Nov-16,2456.56,2488.59,2362.15,2486.52,-
8-Nov-16,2432.26,2458.10,2430.28,2457.45,-
7-Nov-16,2413.16,2442.55,2413.16,2432.03,-
4-Nov-16,2469.29,2471.10,2404.48,2412.85,-
3-Nov-16,2429.05,2473.09,2428.57,2469.20,-
2-Nov-16,2473.10,2473.10,2428.28,2429.00,-
31-Oct-16,2506.76,2506.82,2472.48,2473.75,-
28-Oct-16,2507.22,2507.22,2477.66,2506.55,-
27-Oct-16,2508.23,2511.68,2487.11,2507.35,-
25-Oct-16,2495.38,2510.98,2493.57,2508.37,-
24-Oct-16,2464.29,2499.13,2464.29,2495.25,-
21-Oct-16,2466.09,2472.91,2456.63,2463.96,-
20-Oct-16,2446.48,2466.26,2439.50,2466.26,-
19-Oct-16,2447.18,2456.32,2436.58,2446.52,-
18-Oct-16,2412.69,2447.69,2412.69,2446.90,-
17-Oct-16,2418.72,2418.72,2402.26,2412.67,-
14-Oct-16,2383.39,2423.21,2380.55,2418.36,-
13-Oct-16,2409.40,2409.40,2378.44,2383.39,-
12-Oct-16,2412.63,2423.41,2406.93,2409.53,-
11-Oct-16,2407.72,2419.18,2402.94,2412.73,-
10-Oct-16,2391.16,2410.85,2381.24,2407.36,-
7-Oct-16,2410.87,2415.05,2387.76,2390.88,-
6-Oct-16,2416.93,2430.13,2406.37,2411.04,-
5-Oct-16,2417.91,2419.83,2406.75,2416.87,-
4-Oct-16,2405.74,2421.02,2405.74,2417.64,-
3-Oct-16,2405.60,2421.36,2400.58,2405.50,-
30-Sep-16,2414.71,2414.71,2375.91,2405.28,-
29-Sep-16,2386.43,2426.73,2386.43,2415.16,-
28-Sep-16,2371.60,2397.31,2371.06,2386.22,-
27-Sep-16,2381.12,2393.30,2357.57,2371.66,-
26-Sep-16,2402.88,2402.88,2368.13,2381.42,-
23-Sep-16,2403.35,2404.79,2386.62,2403.13,-
22-Sep-16,2362.95,2411.40,2360.32,2403.46,-
21-Sep-16,2346.50,2378.80,2345.41,2362.85,-
20-Sep-16,2350.04,2360.67,2340.08,2346.36,-
19-Sep-16,2320.10,2351.44,2319.98,2350.10,-
16-Sep-16,2346.16,2347.40,2311.88,2320.70,-
15-Sep-16,2329.20,2346.16,2322.87,2346.16,-
14-Sep-16,2356.25,2364.28,2329.25,2329.42,-
13-Sep-16,2376.02,2394.82,2350.34,2356.40,-
12-Sep-16,2394.22,2394.22,2342.10,2375.75,-
9-Sep-16,2413.28,2416.56,2389.02,2394.53,-
8-Sep-16,2394.07,2417.36,2392.09,2413.45,-
7-Sep-16,2381.49,2398.69,2379.00,2394.33,-
6-Sep-16,2380.73,2390.55,2371.64,2381.31,-
5-Sep-16,2368.74,2390.63,2365.58,2380.59,-
2-Sep-16,2334.46,2369.03,2322.11,2369.03,-
1-Sep-16,2314.27,2358.18,2314.27,2334.49,-
31-Aug-16,2332.43,2345.87,2314.38,2314.38,-
30-Aug-16,2318.12,2343.25,2314.26,2332.52,-
29-Aug-16,2311.48,2317.92,2295.89,2317.92,-
26-Aug-16,2291.28,2312.85,2287.98,2311.65,-
25-Aug-16,2307.90,2307.90,2286.32,2294.30,-
24-Aug-16,2289.10,2316.53,2282.42,2308.10,-
23-Aug-16,2256.83,2296.28,2252.33,2289.41,-
22-Aug-16,2268.12,2284.87,2250.46,2256.79,-
19-Aug-16,2267.42,2268.20,2250.87,2268.20,-
18-Aug-16,2250.74,2270.00,2250.44,2267.49,-
17-Aug-16,2276.39,2277.69,2245.45,2251.54,-
16-Aug-16,2284.53,2285.11,2269.29,2276.46,-
12-Aug-16,2270.25,2289.59,2269.25,2284.53,-
11-Aug-16,2269.03,2271.37,2250.06,2270.47,-
10-Aug-16,2274.45,2274.80,2255.61,2267.22,-
9-Aug-16,2247.37,2274.47,2243.69,2274.47,-
8-Aug-16,2230.16,2252.77,2230.16,2247.39,-
5-Aug-16,2187.57,2229.90,2187.57,2229.87,-
4-Aug-16,2166.85,2208.02,2166.85,2187.67,-
3-Aug-16,2180.90,2196.13,2166.58,2166.58,-
2-Aug-16,2209.04,2209.04,2179.50,2180.98,-
1-Aug-16,2234.10,2245.86,2208.31,2209.13,-
29-Jul-16,2227.85,2237.85,2224.16,2233.44,-
28-Jul-16,2243.28,2251.73,2218.62,2228.16,-
27-Jul-16,2230.41,2258.19,2229.65,2242.97,-
26-Jul-16,2224.06,2246.05,2213.82,2230.24,-
25-Jul-16,2235.05,2244.03,2219.47,2223.73,-
22-Jul-16,2219.74,2238.39,2206.34,2234.75,-
21-Jul-16,2222.27,2226.95,2203.82,2219.61,-
20-Jul-16,2209.45,2231.23,2208.62,2222.30,-
19-Jul-16,2218.19,2221.53,2193.80,2209.32,-
18-Jul-16,2219.03,2233.39,2206.79,2220.01,-
15-Jul-16,2211.70,2226.47,2195.03,2219.14,-
14-Jul-16,2137.18,2212.87,2129.92,2211.66,-
13-Jul-16,2164.37,2165.24,2136.09,2136.24,-
12-Jul-16,2110.65,2169.57,2110.64,2164.29,-
11-Jul-16,2074.41,2114.74,2074.30,2110.52,-
8-Jul-16,2042.95,2078.44,2041.92,2074.11,-
7-Jul-16,2022.63,2071.68,2021.50,2043.28,-
6-Jul-16,2025.91,2034.29,1997.21,2022.96,-
5-Jul-16,2082.66,2082.74,2018.90,2026.04,-
4-Jul-16,2104.52,2117.00,2079.29,2082.69,-
1-Jul-16,2096.01,2107.75,2072.77,2104.21,-
30-Jun-16,2076.62,2100.96,2060.06,2095.96,-
29-Jun-16,2027.95,2076.96,2027.84,2076.96,-
28-Jun-16,1988.13,2046.57,1988.13,2027.95,-
27-Jun-16,2083.82,2093.55,1981.93,1988.40,-
24-Jun-16,2215.71,2215.71,1993.48,2084.22,-
23-Jun-16,2213.55,2251.54,2209.60,2242.11,-
22-Jun-16,2200.57,2218.94,2190.12,2213.77,-
21-Jun-16,2192.26,2202.59,2179.77,2200.52,-
20-Jun-16,2139.81,2192.90,2139.81,2192.90,-
17-Jun-16,2091.26,2146.24,2091.25,2139.81,-
16-Jun-16,2124.36,2124.36,2080.37,2091.26,-
15-Jun-16,2094.41,2133.43,2094.41,2124.27,-
14-Jun-16,2137.78,2137.78,2094.65,2095.02,-
13-Jun-16,2189.22,2189.22,2134.56,2138.39,-
10-Jun-16,2235.73,2235.79,2179.12,2189.87,-
9-Jun-16,2245.19,2246.59,2225.61,2235.05,-
8-Jun-16,2264.27,2264.52,2243.05,2245.19,-
7-Jun-16,2233.78,2266.30,2233.30,2263.84,-
6-Jun-16,2216.54,2234.72,2212.01,2233.66,-
3-Jun-16,2231.85,2251.60,2210.53,2215.77,-
2-Jun-16,2222.29,2260.58,2219.82,2231.54,-
1-Jun-16,2260.96,2260.96,2215.69,2222.12,-
31-May-16,2272.66,2274.52,2256.58,2260.83,-
30-May-16,2263.79,2272.44,2257.19,2272.44,-
27-May-16,2272.29,2277.96,2256.48,2263.51,-
25-May-16,2240.77,2274.71,2239.76,2272.70,-
24-May-16,2205.15,2241.60,2196.14,2240.37,-
23-May-16,2193.24,2212.70,2182.69,2205.19,-
20-May-16,2183.26,2206.34,2180.22,2193.13,-
19-May-16,2211.51,2214.36,2179.56,2182.99,-
18-May-16,2207.01,2211.38,2191.50,2211.36,-
17-May-16,2202.46,2232.29,2196.59,2207.16,-
13-May-16,2204.17,2210.14,2192.09,2201.79,-
12-May-16,2215.18,2237.95,2198.01,2204.12,-
11-May-16,2229.06,2229.06,2194.83,2215.22,-
10-May-16,2217.05,2235.88,2214.79,2229.06,-
9-May-16,2239.49,2254.28,2211.91,2216.54,-
6-May-16,2240.82,2241.88,2211.61,2239.34,-
4-May-16,2274.89,2278.69,2238.72,2240.26,-
3-May-16,2323.45,2323.45,2268.56,2274.38,-
2-May-16,2329.73,2335.41,2313.81,2323.19,-
29-Apr-16,2343.93,2344.93,2327.23,2329.42,-
28-Apr-16,2330.05,2344.21,2314.39,2343.97,-
27-Apr-16,2313.31,2335.41,2311.22,2329.96,-
26-Apr-16,2321.27,2332.38,2308.98,2312.96,-
25-Apr-16,2359.14,2359.90,2316.17,2320.68,-
22-Apr-16,2333.56,2361.49,2322.75,2358.46,-
21-Apr-16,2342.73,2357.96,2327.49,2333.51,-
20-Apr-16,2338.70,2345.98,2318.72,2342.26,-
19-Apr-16,2311.90,2341.93,2306.47,2338.24,-
18-Apr-16,2302.67,2312.74,2277.89,2311.47,-
15-Apr-16,2318.12,2318.12,2297.17,2303.65,-
14-Apr-16,2294.47,2322.42,2294.00,2318.05,-
13-Apr-16,2251.12,2296.30,2251.12,2293.92,-
12-Apr-16,2247.32,2259.39,2235.78,2251.17,-
11-Apr-16,2241.90,2257.32,2230.81,2246.61,-
8-Apr-16,2209.81,2245.43,2209.73,2241.17,-
7-Apr-16,2240.02,2245.70,2205.56,2210.18,-
6-Apr-16,2227.64,2241.18,2215.27,2239.60,-
5-Apr-16,2253.29,2253.29,2214.48,2227.22,-
4-Apr-16,2265.64,2273.21,2240.34,2252.86,-
1-Apr-16,2270.57,2279.25,2239.79,2266.55,-
31-Mar-16,2275.44,2282.51,2254.93,2270.38,-
30-Mar-16,2228.58,2279.21,2227.69,2275.08,-
29-Mar-16,2221.91,2238.71,2209.96,2228.33,-
24-Mar-16,2266.51,2267.36,2218.60,2221.42,-
23-Mar-16,2292.78,2297.29,2257.13,2267.61,-
22-Mar-16,2297.67,2297.67,2265.45,2292.29,-
21-Mar-16,2317.90,2329.62,2290.09,2298.77,-
18-Mar-16,2297.27,2334.50,2285.90,2316.80,-
17-Mar-16,2299.60,2317.20,2246.95,2297.15,-
16-Mar-16,2298.57,2318.76,2284.37,2299.61,-
15-Mar-16,2323.69,2323.69,2294.63,2298.69,-
14-Mar-16,2283.84,2331.12,2283.39,2323.53,-
11-Mar-16,2229.36,2293.09,2229.36,2284.02,-
10-Mar-16,2247.42,2287.00,2225.00,2228.93,-
9-Mar-16,2236.66,2256.39,2234.33,2247.91,-
8-Mar-16,2232.81,2257.21,2216.97,2236.97,-
7-Mar-16,2229.88,2233.54,2195.42,2232.72,-
4-Mar-16,2211.59,2239.42,2210.40,2230.50,-
3-Mar-16,2206.44,2217.73,2198.12,2211.59,-
2-Mar-16,2192.85,2220.67,2182.85,2206.99,-
1-Mar-16,2154.28,2192.35,2152.90,2191.92,-
29-Feb-16,2146.13,2158.62,2113.54,2154.34,-
26-Feb-16,2120.17,2178.07,2120.17,2145.88,-
25-Feb-16,2100.77,2136.27,2100.71,2120.04,-
24-Feb-16,2134.75,2141.21,2088.10,2100.28,-
23-Feb-16,2177.88,2180.87,2134.82,2134.99,-
22-Feb-16,2124.80,2181.73,2124.80,2177.82,-
19-Feb-16,2114.14,2138.61,2098.22,2124.84,-
18-Feb-16,2163.64,2174.40,2109.65,2114.14,-
17-Feb-16,2083.96,2176.04,2083.96,2162.84,-
16-Feb-16,2099.27,2116.68,2066.24,2084.71,-
15-Feb-16,2035.73,2103.10,2035.73,2099.27,-
12-Feb-16,1957.55,2033.48,1957.55,2033.48,-
11-Feb-16,2001.81,2002.04,1929.73,1957.05,-
10-Feb-16,1972.44,2040.85,1972.11,2001.60,-
9-Feb-16,2026.41,2033.26,1936.92,1972.03,-
8-Feb-16,2130.42,2131.65,2016.25,2026.40,-
5-Feb-16,2113.87,2146.39,2112.11,2129.94,-
4-Feb-16,2092.51,2123.34,2077.85,2113.90,-
3-Feb-16,2129.63,2131.42,2062.65,2092.09,-
2-Feb-16,2141.14,2163.48,2115.27,2129.86,-
1-Feb-16,2162.91,2167.87,2124.80,2140.96,-
29-Jan-16,2129.88,2162.42,2113.19,2162.42,-
28-Jan-16,2137.96,2151.83,2114.85,2129.45,-
27-Jan-16,2158.16,2168.51,2126.23,2137.96,-
26-Jan-16,2138.82,2158.36,2093.64,2158.36,-
25-Jan-16,2139.84,2166.93,2133.81,2138.89,-
22-Jan-16,2083.87,2150.01,2083.87,2138.90,-
21-Jan-16,2043.74,2082.80,2029.54,2081.76,-
20-Jan-16,2113.87,2114.50,2038.73,2043.40,-
19-Jan-16,2071.19,2133.80,2070.58,2114.48,-
18-Jan-16,2113.23,2114.31,2062.51,2070.77,-
15-Jan-16,2169.85,2179.19,2089.04,2113.16,-
14-Jan-16,2204.05,2204.21,2135.57,2169.90,-
13-Jan-16,2217.18,2242.80,2204.05,2204.05,-
12-Jan-16,2201.26,2236.63,2187.09,2216.71,-
11-Jan-16,2221.45,2233.10,2193.39,2200.99,-
8-Jan-16,2298.01,2310.96,2219.87,2221.09,-
7-Jan-16,2362.45,2362.48,2253.61,2297.63,-
5-Jan-16,2348.58,2367.34,2332.05,2362.73,-
4-Jan-16,2396.94,2396.94,2328.74,2348.31,-
30-Dec-15,2396.14,2404.73,2389.10,2396.94,-
29-Dec-15,2395.61,2412.55,2395.37,2396.27,-
28-Dec-15,2400.65,2403.53,2390.03,2395.47,-
23-Dec-15,2365.24,2405.96,2365.24,2401.19,-
22-Dec-15,2343.01,2365.60,2335.04,2365.04,-
21-Dec-15,2357.94,2367.35,2340.39,2343.50,-
18-Dec-15,2366.60,2369.09,2333.95,2356.86,-
16-Dec-15,2353.04,2398.87,2352.92,2388.90,-
15-Dec-15,2292.72,2368.39,2292.72,2352.43,-
14-Dec-15,2340.02,2352.03,2290.37,2292.32,-
11-Dec-15,2387.07,2387.38,2325.93,2339.86,-
10-Dec-15,2372.24,2388.50,2358.71,2387.75,-
9-Dec-15,2430.27,2430.27,2357.01,2373.40,-
7-Dec-15,2447.15,2457.07,2420.97,2430.35,-
4-Dec-15,2452.80,2465.53,2431.74,2448.52,-
3-Dec-15,2488.61,2509.18,2450.70,2453.96,-
2-Dec-15,2501.35,2508.13,2482.74,2488.20,-
1-Dec-15,2488.07,2515.09,2487.77,2501.60,-
30-Nov-15,2473.74,2492.01,2461.08,2488.62,-
27-Nov-15,2468.07,2473.99,2450.24,2473.99,-
26-Nov-15,2441.34,2477.99,2440.42,2469.16,-
25-Nov-15,2452.65,2461.71,2438.03,2441.00,-
24-Nov-15,2492.63,2492.63,2446.95,2454.01,-
